Unnamed: 0,Subject,Event,TrialN,mean_pupil,time
426,Subject_2,Simple,2,0.193807931617093,1250
427,Subject_2,Simple,2,0.208339505566069,1300
428,Subject_2,Simple,2,0.234115318316228,1350
429,Subject_2,Simple,2,0.243143493107688,1400
430,Subject_2,Simple,2,0.261266231592038,1450
431,Subject_2,Simple,2,0.262316710690718,1500
432,Subject_2,Simple,2,0.264948347032573,1550
433,Subject_2,Simple,2,0.289251667628848,1600
434,Subject_2,Simple,2,0.262752306053088,1650
435,Subject_2,Simple,2,0.296053399529248,1700
436,Subject_2,Simple,2,0.334944426511098,1750
437,Subject_2,Simple,2,0.354905903477113,1800
438,Subject_2,Simple,2,0.377024007980823,1850
439,Subject_2,Simple,2,0.423717537558993,1900
440,Subject_2,Simple,2,0.451605017088163,1950
441,Subject_2,Circle,3,0.011504246316568,0
442,Subject_2,Circle,3,0.008216428811393,50
443,Subject_2,Circle,3,0.0196757993363987,100
444,Subject_2,Circle,3,0.0099614742762983,150
445,Subject_2,Circle,3,0.0061600723331634,200
446,Subject_2,Circle,3,0.0489096890652783,250
447,Subject_2,Circle,3,0.0708332951736232,300
448,Subject_2,Circle,3,0.0868141520630235,350
449,Subject_2,Circle,3,0.114783737672078,400
450,Subject_2,Circle,3,0.159288452957653,450
451,Subject_2,Circle,3,0.182719908647608,500
452,Subject_2,Circle,3,0.226108564127563,550
453,Subject_2,Circle,3,0.261138981111038,600
454,Subject_2,Circle,3,0.305133567485593,650
455,Subject_2,Circle,3,0.342234076101953,700
456,Subject_2,Circle,3,0.369427825448563,750
457,Subject_2,Circle,3,0.403649873920273,800
458,Subject_2,Circle,3,0.450211373740068,850
459,Subject_2,Circle,3,0.471473214022113,900
460,Subject_2,Circle,3,0.503594152208243,950
461,Subject_2,Circle,3,0.536350278797288,1000
462,Subject_2,Circle,3,0.565044915099853,1050
463,Subject_2,Circle,3,0.596893747103028,1100
464,Subject_2,Circle,3,0.638119811201067,1150
465,Subject_2,Circle,3,0.666198973860639,1200
466,Subject_2,Circle,3,0.694278136520211,1250
467,Subject_2,Circle,3,0.722357299179782,1300
468,Subject_2,Circle,3,0.750436461839354,1350
469,Subject_2,Circle,3,0.778515624498926,1400
470,Subject_2,Circle,3,0.806594787158498,1450
471,Subject_2,Circle,3,0.862888904553703,1500
472,Subject_2,Circle,3,0.876778473631473,1550
473,Subject_2,Circle,3,0.878603728957623,1600
474,Subject_2,Circle,3,0.910429028187108,1650
475,Subject_2,Circle,3,0.934121441256078,1700
476,Subject_2,Circle,3,0.935929423392828,1750
477,Subject_2,Circle,3,0.956893131795763,1800
478,Subject_2,Circle,3,0.972424064286208,1850
479,Subject_2,Circle,3,0.960742237284163,1900
480,Subject_2,Circle,3,0.966953964990643,1950
481,Subject_2,Circle,4,0.0096835219175788,0
482,Subject_2,Circle,4,0.0189430736243588,50
483,Subject_2,Circle,4,-0.0023940915587163,100
484,Subject_2,Circle,4,0.0148009720029134,150
485,Subject_2,Circle,4,0.036178426905376,200
486,Subject_2,Circle,4,0.0718075184094795,250
487,Subject_2,Circle,4,0.107436609913584,300
488,Subject_2,Circle,4,0.143065701417687,350
489,Subject_2,Circle,4,0.178694792921791,400
490,Subject_2,Circle,4,0.214323884425895,450
491,Subject_2,Circle,4,0.264676428021173,500
492,Subject_2,Circle,4,0.289717582582958,550
493,Subject_2,Circle,4,0.355992989247443,600
494,Subject_2,Circle,4,0.406670252252943,650
495,Subject_2,Circle,4,0.465315037509343,700
496,Subject_2,Circle,4,0.514580664594493,750
497,Subject_2,Circle,4,0.559961002185448,800
498,Subject_2,Circle,4,0.581958244366563,850
499,Subject_2,Circle,4,0.641010810635413,900
500,Subject_2,Circle,4,0.687309984861308,950
501,Subject_2,Circle,4,0.721976081279703,1000
502,Subject_2,Circle,4,0.755479004597628,1050
503,Subject_2,Circle,4,0.811676619903878,1100
504,Subject_2,Circle,4,0.841976232976247,1150
505,Subject_2,Circle,4,0.870912500075898,1200
506,Subject_2,Circle,4,0.883644676980318,1250
507,Subject_2,Circle,4,0.881167341382138,1300
508,Subject_2,Circle,4,0.895301355225458,1350
509,Subject_2,Circle,4,0.889613598519163,1400
510,Subject_2,Circle,4,0.857441683264343,1450
511,Subject_2,Circle,4,0.833998882112843,1500
512,Subject_2,Circle,4,0.806548512918978,1550
513,Subject_2,Circle,4,0.745243289434893,1600
514,Subject_2,Circle,4,0.692877701037953,1650
515,Subject_2,Circle,4,0.662702875003233,1700
516,Subject_2,Circle,4,0.625874179608538,1750
517,Subject_2,Circle,4,0.618018532473508,1800
518,Subject_2,Circle,4,0.618018532473508,1850
519,Subject_2,Circle,4,0.618018532473508,1900
520,Subject_2,Circle,4,0.618018532473508,1950
521,Subject_2,Simple,5,0.0,0
522,Subject_2,Simple,5,0.0,50
523,Subject_2,Simple,5,0.0102164274026619,100
524,Subject_2,Simple,5,0.0644666361307551,150
525,Subject_2,Simple,5,0.114436804292606,200
526,Subject_2,Simple,5,0.178017248171258,250
